epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1037.07,0.44692,1.50135,0.00178,0.9086,0.96429,0.98331,0.96064,0.30086,1.89091,0.00147,0.000973861,0.000973861,0.000973861
44,1061.36,0.46306,1.29355,0.00162,0.99261,1,0.995,0.97,0.3084,1.80395,0.00153,0.000957358,0.000957358,0.000957358
45,1084.99,0.47371,1.16573,0.00159,0.92904,0.93543,0.9877,0.95866,0.31141,1.80579,0.00154,0.000940855,0.000940855,0.000940855
46,1108.95,0.44669,1.20083,0.00186,0.9305,0.95652,0.98288,0.90024,0.46437,1.82733,0.00218,0.000924352,0.000924352,0.000924352
47,1132.96,0.5153,1.22461,0.00201,0.91685,0.96429,0.98642,0.90695,0.43328,1.72125,0.00217,0.000907848,0.000907848,0.000907848
48,1156.96,0.52027,1.25997,0.002,0.87348,1,0.98454,0.94286,0.34483,1.66026,0.00173,0.000891345,0.000891345,0.000891345
49,1181.29,0.46532,1.13594,0.00183,0.98222,1,0.995,0.96562,0.29392,1.60253,0.00157,0.000874842,0.000874842,0.000874842
50,1205.19,0.49624,1.05257,0.00203,0.93288,0.99297,0.98287,0.94903,0.3034,1.59534,0.00163,0.000858338,0.000858338,0.000858338
51,1229.67,0.41598,1.10155,0.00175,0.84473,0.97167,0.97483,0.89921,0.40543,1.63782,0.00195,0.000841835,0.000841835,0.000841835
52,1256.3,0.46753,1.02045,0.00182,0.949,0.92857,0.98176,0.90884,0.36059,1.57597,0.00173,0.000825332,0.000825332,0.000825332
53,1280.69,0.53522,0.97398,0.00192,0.96283,0.92533,0.98403,0.93692,0.32725,1.53768,0.00161,0.000808828,0.000808828,0.000808828
54,1304.74,0.43707,1.07039,0.00176,0.92983,0.96429,0.98479,0.96545,0.27976,1.44967,0.00142,0.000792325,0.000792325,0.000792325
55,1328.76,0.50124,1.05657,0.00212,1,0.94068,0.9921,0.94618,0.32153,1.36775,0.00158,0.000775822,0.000775822,0.000775822
56,1352.91,0.45494,0.93455,0.00166,0.95243,0.96429,0.9844,0.96268,0.31696,1.3359,0.00159,0.000759318,0.000759318,0.000759318
57,1376.96,0.40384,0.84064,0.00159,0.96366,0.9473,0.9827,0.9505,0.29911,1.31986,0.00143,0.000742815,0.000742815,0.000742815
58,1401.07,0.35348,0.86273,0.00137,0.96285,0.96429,0.98333,0.95438,0.30725,1.29537,0.00157,0.000726312,0.000726312,0.000726312
59,1425.21,0.35942,0.82699,0.00135,0.95762,0.96429,0.98795,0.93996,0.35488,1.27081,0.00184,0.000709809,0.000709809,0.000709809
60,1449.47,0.3985,0.84367,0.00157,0.96455,0.97208,0.99397,0.94721,0.33411,1.22454,0.00167,0.000693305,0.000693305,0.000693305
61,1473.67,0.40268,0.87256,0.00149,0.96461,0.97358,0.99397,0.96396,0.31522,1.20838,0.00149,0.000676802,0.000676802,0.000676802
62,1497.69,0.40904,0.85555,0.00226,0.98748,1,0.995,0.94847,0.32867,1.17771,0.00142,0.000660299,0.000660299,0.000660299
63,1522.7,0.36065,0.84181,0.00169,0.99902,1,0.995,0.96853,0.31252,1.16134,0.00151,0.000643795,0.000643795,0.000643795
64,1548.7,0.42892,0.79021,0.00181,1,0.99425,0.995,0.94459,0.36951,1.1615,0.00195,0.000627292,0.000627292,0.000627292
65,1573.82,0.39906,0.72199,0.00163,0.98905,0.96429,0.99397,0.93425,0.41075,1.15977,0.00219,0.000610789,0.000610789,0.000610789
66,1598.58,0.38445,0.77042,0.0015,0.95528,1,0.99259,0.94269,0.38037,1.13068,0.00202,0.000594286,0.000594286,0.000594286
67,1623.75,0.37734,0.71726,0.00137,0.96219,1,0.99397,0.96678,0.2867,1.05608,0.00157,0.000577782,0.000577782,0.000577782
68,1648.63,0.39114,0.85174,0.00166,1,0.95483,0.99397,0.96073,0.3344,1.04217,0.00176,0.000561279,0.000561279,0.000561279
69,1673.4,0.38024,0.75234,0.00156,0.9604,1,0.99397,0.95074,0.37936,1.04855,0.00192,0.000544776,0.000544776,0.000544776
70,1698.32,0.41576,0.70741,0.00133,0.97286,0.96429,0.99397,0.92684,0.38063,1.05111,0.00181,0.000528272,0.000528272,0.000528272
71,1723.33,0.378,0.63938,0.00128,0.98398,0.92857,0.99033,0.95858,0.31429,1.03055,0.00151,0.000511769,0.000511769,0.000511769
72,1748.33,0.343,0.7349,0.00148,0.98904,0.92857,0.99067,0.96015,0.28218,1.00736,0.00138,0.000495266,0.000495266,0.000495266
73,1773.51,0.37978,0.6841,0.00144,0.999,0.92857,0.99067,0.96635,0.26884,0.99429,0.00132,0.000478762,0.000478762,0.000478762
74,1798.47,0.33175,0.79508,0.00137,1,0.92155,0.98849,0.95644,0.31467,1.00272,0.0015,0.000462259,0.000462259,0.000462259
75,1823.34,0.37301,0.65572,0.00129,1,0.92448,0.98934,0.92696,0.3771,0.99626,0.00176,0.000445756,0.000445756,0.000445756
76,1848.33,0.37031,0.66487,0.00154,1,0.92115,0.99033,0.93153,0.34267,0.96501,0.00161,0.000429253,0.000429253,0.000429253
77,1873.84,0.35229,0.63945,0.00129,0.93222,0.98266,0.98922,0.95078,0.32098,0.95608,0.00151,0.000412749,0.000412749,0.000412749
78,1899.77,0.32865,0.59551,0.00127,0.91898,0.96429,0.98727,0.96241,0.2989,0.93571,0.00139,0.000396246,0.000396246,0.000396246
79,1925.18,0.36167,0.67077,0.0017,1,0.92625,0.99067,0.9671,0.2559,0.90707,0.0012,0.000379743,0.000379743,0.000379743
80,1950.22,0.32148,0.64086,0.00126,0.95691,0.96429,0.9896,0.96805,0.29672,0.90758,0.00141,0.000363239,0.000363239,0.000363239
81,1975.85,0.33799,0.68067,0.00139,0.96335,0.96429,0.98875,0.97205,0.30106,0.90922,0.00142,0.000346736,0.000346736,0.000346736
82,2001.44,0.39523,0.69537,0.00128,0.95481,0.96429,0.98875,0.96632,0.27474,0.89874,0.00126,0.000330233,0.000330233,0.000330233
83,2026.8,0.32247,0.65004,0.00117,0.96427,0.96375,0.98795,0.97055,0.25852,0.88753,0.00123,0.000313729,0.000313729,0.000313729
84,2051.86,0.36961,0.66951,0.00162,0.96424,0.96429,0.99067,0.9735,0.26733,0.87773,0.00129,0.000297226,0.000297226,0.000297226
85,2077.25,0.31903,0.63701,0.00126,0.9628,0.96429,0.99067,0.97352,0.26602,0.869,0.00127,0.000280723,0.000280723,0.000280723
86,2102.74,0.32653,0.66887,0.0013,1,0.95858,0.993,0.97362,0.24452,0.84539,0.00111,0.00026422,0.00026422,0.00026422
87,2128.23,0.34536,0.55922,0.00141,0.98502,0.96429,0.993,0.95354,0.2966,0.85388,0.00132,0.000247716,0.000247716,0.000247716
88,2153.08,0.34255,0.6314,0.00134,0.99817,0.96429,0.9921,0.94205,0.34703,0.86724,0.00156,0.000231213,0.000231213,0.000231213
89,2177.41,0.3091,0.59398,0.0012,1,0.95961,0.9921,0.94271,0.33758,0.86182,0.00151,0.00021471,0.00021471,0.00021471
90,2201.38,0.32037,0.61401,0.00153,1,0.95758,0.99125,0.95257,0.28948,0.83839,0.00131,0.000198206,0.000198206,0.000198206
91,2226.33,0.26175,0.77395,0.00135,0.99057,0.92857,0.98849,0.97107,0.25267,0.82407,0.00119,0.000181703,0.000181703,0.000181703
92,2250.03,0.30207,0.76226,0.00122,0.99235,0.92857,0.98849,0.96868,0.25592,0.8289,0.00124,0.0001652,0.0001652,0.0001652
93,2274,0.29002,0.75343,0.00138,0.94229,0.92857,0.98738,0.96754,0.2656,0.82995,0.0013,0.000148696,0.000148696,0.000148696
94,2298.25,0.29075,0.73714,0.00143,0.89181,0.96429,0.98488,0.95438,0.27432,0.83121,0.00134,0.000132193,0.000132193,0.000132193
95,2327.14,0.29033,0.74633,0.0013,0.92457,0.96429,0.98488,0.95243,0.26888,0.82143,0.00126,0.00011569,0.00011569,0.00011569
96,2356,0.23917,0.70409,0.00109,0.924,0.96429,0.98366,0.94805,0.27525,0.81692,0.00124,9.91865e-05,9.91865e-05,9.91865e-05
97,2381.35,0.25683,0.70254,0.00135,0.91965,0.96429,0.98366,0.94783,0.2844,0.81743,0.00126,8.26832e-05,8.26832e-05,8.26832e-05
98,2405.6,0.2869,0.73541,0.00141,0.91845,0.96429,0.98366,0.94818,0.30101,0.81633,0.00133,6.61799e-05,6.61799e-05,6.61799e-05
99,2429.82,0.29375,0.74153,0.00167,0.92116,0.96429,0.98366,0.94824,0.3052,0.8153,0.00134,4.96766e-05,4.96766e-05,4.96766e-05
100,2453.86,0.28377,0.77926,0.00154,0.91903,0.96429,0.98488,0.94747,0.30144,0.81272,0.00132,3.31733e-05,3.31733e-05,3.31733e-05
